Résumé;Clé de ticket;ID de ticket;ID parent;Type de ticket;état;Clé de projet;Nom du projet;Type de projet;Chef de projet;Description du projet;URL du projet;Priorité;Résolution;Responsable;Rapporteur;Créateur;Création;Mise à jour;Dernier affichage;Résolue;Date d'échéance;Votes;Descriptif;Environnement;Gérer les observateurs;Estimation originale;Estimation restante;Temps consacré;Ratio du travail réel comparé à l'estimation;l' Estimation originale;l' Estimation restante;le Temps consacré;Niveau de sécurité;Champs personnalisés (Epic Color);Champs personnalisés (Epic Link);Champs personnalisés (Epic Name);Champs personnalisés (Epic Status);Champs personnalisés (Rank);Sprint;Champs personnalisés (Story Points);;
Push and pull user service image;DEV-61;10301;10296;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 9:41 AM;26/avr./22 1:13 PM;05/oct./22 9:47 AM;26/avr./22 1:13 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000hb:;SEMAINE 25/04 - 08/05;;;
Push and pull frontend image;DEV-60;10300;10296;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 9:39 AM;26/avr./22 10:58 AM;05/oct./22 9:47 AM;26/avr./22 10:58 AM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000h3:;SEMAINE 25/04 - 08/05;;;
Installer collabora office et matcher avec nextcloud;DEV-59;10299;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;adminjira;adminjira;adminjira;26/avr./22 9:39 AM;04/05/2022 08:24;05/oct./22 9:47 AM;04/05/2022 08:24;;0;;;adminjira;;;;;;;;;;;;;0|i000gv:;;;;
push and pull compagny managemt image;DEV-58;10298;10296;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 9:35 AM;26/avr./22 11:45 AM;05/oct./22 9:47 AM;26/avr./22 11:45 AM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000gn:;SEMAINE 25/04 - 08/05;;;
Deploy and configure internal services;DEV-57;10297;;épopée;A faire;DEV;DevOps;software;adminjira;;;Medium;;;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 9:30 AM;26/avr./22 9:33 AM;05/oct./22 9:47 AM;;;0;;;dalbiaz.lekoubou;;;;;;;;;ghx-label-11;;Graylog Deployment;To Do;0|i000gf:;;;;
Push and pull networklab frontend & backend from nexus in gitlab ci;DEV-56;10296;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 9:21 AM;26/avr./22 1:13 PM;05/oct./22 9:47 AM;26/avr./22 1:13 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-14;;;0|i0002j:r;SEMAINE 25/04 - 08/05;;;
Deploy and Configure Graylog on Nextcloud server;DEV-55;10295;;Récit;En cours;DEV;DevOps;software;adminjira;;;Medium;;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 9:17 AM;26/avr./22 1:14 PM;05/oct./22 9:47 AM;;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-57;;;0|i0002j:w;SEMAINE 25/04 - 08/05;;;
Déployer l'application front-end dms-mbs-client;DEV-54;10294;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;adminjira;adminjira;adminjira;26/avr./22 8:23 AM;26/avr./22 9:31 AM;05/oct./22 9:47 AM;26/avr./22 9:31 AM;;0;;;adminjira;;;;;;;;;;;;;0|i000g7:;;;;
Reading about Terraform;DEV-53;10293;;Récit;A faire;DEV;DevOps;software;adminjira;;;Medium;;;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 8:20 AM;26/avr./22 9:12 AM;05/oct./22 9:47 AM;;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000fz:;;;;
push image with another user other than admin;DEV-52;10292;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;25/avr./22 1:35 PM;25/avr./22 1:51 PM;05/oct./22 9:47 AM;25/avr./22 1:51 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-40;;;0|i0002j:i;SEMAINE 25/04 - 08/05;;;
